Date,Time,Location,away_team_id,home_team_id,score
Sat Mar 23,5:30 pm,USU Legacy Fields,Montana State,Utah State,0 - 0
Sat Mar 23,6:00 pm,Cal State Fullerton,Westcliff,Cal State Fullerton,0 - 0
Sat Mar 23,6:00 pm,David Sitton Field,Grand Canyon,Arizona,12 - 18
Sat Mar 23,6:30 pm,Arizona Christian University,San Diego,Arizona Christian,0 - 0
Sat Mar 23,7:00 pm,Cook Pavillion,Kansas State,Creighton,0 - 0
Sat Mar 23,7:00 pm,TBD,South Carolina,Vanderbilt,0 - 0
Sat Mar 23,7:00 pm,Kennesaw State University,Tampa,UNC-Charlotte,7 - 16
Sat Mar 23,7:00 pm,University of Texas,Oregon,Texas,0 - 0
Sat Mar 23,7:00 pm,Joe Aillet Stadium,TAMU-Corps of Cadets,Louisiana Tech,8 - 2
Sat Mar 23,7:00 pm,Liberty Men's Lacrosse Field,Chapman,Liberty,11 - 8
Sat Mar 23,7:00 pm,Biola,Southern Oregon,Biola,0 - 0
Sat Mar 23,7:30 pm,Indiana University,Kansas,Indiana,0 - 0
Sun Mar 24,9:00 am,Joe Aillet Stadium,St. Edward's,Louisiana Tech,N/A
Sun Mar 24,10:00 am,Kennesaw State University,Tampa,Kennesaw State,N/A
Sun Mar 24,10:00 am,Dayton,Minn.-Duluth,Dayton,N/A
Sun Mar 24,10:00 am,Grand Valley State,St. John's,Central Michigan,N/A
Sun Mar 24,11:00 am,Kittredge Field,UC Santa Barbara,Colorado,N/A
Sun Mar 24,11:00 am,Alabama Intramural Fields Field #2,East Carolina,Alabama,N/A
Sun Mar 24,11:00 am,TBD,Arizona DII,New Mexico,N/A
Sun Mar 24,11:00 am,"Intramural Club Sports Field (Monmouth, OR)",Cal Poly-Humboldt,Western Oregon,N/A
Sun Mar 24,11:30 am,USU Legacy Fields,Northern Arizona,Montana State,N/A
Sun Mar 24,12:00 pm,Swensen Field,UMass-Dartmouth,Bridgewater State,N/A
Sun Mar 24,12:00 pm,Boise State,Simon Fraser,Boise State,N/A
Sun Mar 24,12:00 pm,WVU Rec Center,Illinois,West Virginia,N/A
Sun Mar 24,12:00 pm,Wake Forest - Water Tower Field,Longwood,Wake Forest,N/A
Sun Mar 24,12:00 pm,UNC-Wilmington,Temple,UNC-Wilmington,N/A
Sun Mar 24,12:00 pm,Purdue University,Kansas,Purdue,N/A
Sun Mar 24,12:30 pm,Washington State Home Field,College of Idaho,Gonzaga,N/A
Sun Mar 24,12:30 pm,Kennesaw State University,Middle Tennessee State,Tampa,N/A
Sun Mar 24,1:00 pm,Claremont,Loyola Marymount,Claremont,N/A
Sun Mar 24,1:00 pm,Florida State University,South Florida,Florida State,N/A
Sun Mar 24,1:00 pm,Kennelly Field,Sonoma State,Dominican,N/A
Sun Mar 24,1:00 pm,Central Connecticut,Stonehill,Central Conn. State,N/A
Sun Mar 24,1:00 pm,University of Kentucky,Tennessee,University of Kentucky,N/A
Sun Mar 24,1:00 pm,Spartan RecField,UC Irvine,San Jose State,N/A
Sun Mar 24,1:00 pm,Dayton,Missouri State,Florida Atlantic,N/A
Sun Mar 24,1:30 pm,Cook Pavillion,Kansas State,Nebraska,N/A
Sun Mar 24,2:00 pm,Georgia Club Sports Complex,Vanderbilt,Georgia,N/A
Sun Mar 24,2:00 pm,Texas A & M,Rice,Texas A&M DII,N/A
Sun Mar 24,2:00 pm,Cromwell Field,San Diego State,USC,N/A
Sun Mar 24,2:00 pm,UL Rec Sports Complex,North Texas,Louisiana,N/A
Sun Mar 24,2:30 pm,Alabama Intramural Fields Field #2,Ole Miss,Alabama,N/A
Sun Mar 24,3:00 pm,Kennesaw State University,Middle Tennessee State,Kennesaw State,N/A
Sun Mar 24,4:00 pm,Jess Dow Field,WPI,Southern Conn. State,N/A
Sun Mar 24,5:00 pm,Texas State University,Oregon,Texas State,N/A
Mon Mar 25,11:00 am,Arizona Christian University,Western Washington,San Diego,N/A
Mon Mar 25,6:00 pm,Texas A & M,Oregon,Texas A&M,N/A
Mon Mar 25,7:00 pm,Cal State Fullerton,Southern Oregon,Cal State Fullerton,N/A
Mon Mar 25,7:00 pm,Saint Mary's College,UC Irvine,Saint Mary's,N/A
Tue Mar 26,4:00 pm,Moorpark College Soccer Field,Southern Oregon,Moorpark,N/A
